地區,通報件數(件),擱淺數(隻)_合計,擱淺數(隻)_活體,擱淺數(隻)_死亡,種類(隻)_合計,種類(隻)_中華白海豚,種類(隻)_大翅鯨,種類(隻)_抹香鯨,種類(隻)_熱帶斑海豚,種類(隻)_飛旋海豚,種類(隻)_瓶鼻海豚,種類(隻)_糙齒海豚,種類(隻)_弗氏海豚,種類(隻)_瑞氏海豚(花紋海豚),種類(隻)_江豚(露脊鼠海豚),種類(隻)_小虎鯨,種類(隻)_偽虎鯨,種類(隻)_小抹香鯨,種類(隻)_侏儒抹香鯨,種類(隻)_短肢領航鯨,種類(隻)_柯氏喙鯨,種類(隻)_其他
總　　　　計,35,36,2,34,36,2,0,0,0,1,11,0,2,1,8,0,1,2,2,0,0,6
臺灣地區,26,27,2,25,27,0,0,0,0,1,11,0,2,1,2,0,1,2,2,0,0,5
新北市,6,6,1,5,6,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2
臺北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
桃園市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宜蘭縣,4,4,0,4,4,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0
新竹縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
基隆市,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
新竹市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺中市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苗栗縣,4,4,0,4,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
彰化縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南投縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
雲林縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺南市,2,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
高雄市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嘉義縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
屏東縣,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
澎湖縣,6,7,0,7,7,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2
嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺東縣,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
花蓮縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金馬地區,9,9,0,9,9,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1
金門縣,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
連江縣,7,7,0,7,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1
