地區,通報件數(件),擱淺數(隻)_合計,擱淺數(隻)_活體,擱淺數(隻)_死亡,種類(隻)_合計,種類(隻)_中華白海豚,種類(隻)_大翅鯨,種類(隻)_抹香鯨,種類(隻)_熱帶斑海豚,種類(隻)_飛旋海豚,種類(隻)_瓶鼻海豚,種類(隻)_糙齒海豚,種類(隻)_弗氏海豚,種類(隻)_瑞氏海豚(花紋海豚),種類(隻)_江豚(露脊鼠海豚),種類(隻)_小虎鯨,種類(隻)_偽虎鯨,種類(隻)_小抹香鯨,種類(隻)_侏儒抹香鯨,種類(隻)_短肢領航鯨,種類(隻)_柯氏喙鯨,種類(隻)_其他
總　　　　計,60,70,7,63,70,1,,1,1,,11,3,2,2,9,24,,1,2,3,1,9
臺灣地區,49,59,7,52,59,,,1,1,,11,2,2,2,1,24,,1,2,3,1,8
北部地區,13,13,2,11,13,,,,,,4,2,,1,1,,,1,,,,4
新北市,5,5,,5,5,,,,,,2,1,,,1,,,,,,,1
臺北市,,,,,,,,,,,,,,,,,,,,,,
桃園市,5,5,2,3,5,,,,,,1,1,,,,,,1,,,,2
宜蘭縣,2,2,,2,2,,,,,,,,,1,,,,,,,,1
新竹縣,1,1,,1,1,,,,,,1,,,,,,,,,,,
基隆市,,,,,,,,,,,,,,,,,,,,,,
新竹市,,,,,,,,,,,,,,,,,,,,,,
中部地區,8,8,1,7,8,,,,,,2,,1,,,,,,,1,,4
臺中市,1,1,,1,1,,,,,,,,,,,,,,,,,1
苗栗縣,4,4,1,3,4,,,,,,1,,,,,,,,,1,,2
彰化縣,1,1,,1,1,,,,,,,,1,,,,,,,,,
南投縣,,,,,,,,,,,,,,,,,,,,,,
雲林縣,2,2,,2,2,,,,,,1,,,,,,,,,,,1
南部地區,24,34,4,30,34,,,,1,,5,,,1,,24,,,1,2,,
臺南市,1,1,1,,1,,,,,,,,,,,1,,,,,,
高雄市,10,15,1,14,15,,,,,,,,,,,15,,,,,,
嘉義縣,4,9,,9,9,,,,1,,,,,,,8,,,,,,
屏東縣,3,3,1,2,3,,,,,,1,,,,,,,,1,1,,
澎湖縣,6,6,1,5,6,,,,,,4,,,1,,,,,,1,,
嘉義市,,,,,,,,,,,,,,,,,,,,,,
東部地區,4,4,,4,4,,,1,,,,,1,,,,,,1,,1,
臺東縣,4,4,,4,4,,,1,,,,,1,,,,,,1,,1,
花蓮縣,,,,,,,,,,,,,,,,,,,,,,
金馬地區,11,11,,11,11,1,,,,,,1,,,8,,,,,,,1
金門縣,5,5,,5,5,1,,,,,,,,,4,,,,,,,
連江縣,6,6,,6,6,,,,,,,1,,,4,,,,,,,1
