縣市別,清理範圍(處),清理次數(次),參與人數(人次),海洋廢棄物來源(噸)_海漂,海洋廢棄物來源(噸)_海底,海洋廢棄物來源(噸)_淨灘,清理方式_雇工   (人次),清理方式_機械    (輛次),清理數量分類(噸)_計,清理數量分類(噸)_寶特瓶,清理數量分類(噸)_鐵罐,清理數量分類(噸)_鋁罐,清理數量分類(噸)_玻璃瓶,清理數量分類(噸)_廢紙,清理數量分類(噸)_竹木,清理數量分類(噸)_保麗龍,清理數量分類(噸)_廢漁具漁網,清理數量分類(噸)_其他,清理後處理方式(噸)_焚化,清理後處理方式(噸)_回收再利用,清理後處理方式(噸)_其他
總　　　　計,262,782,"16,463",301.366,1.577,177.321,"3,864",530,672.083,18.942,5.981,4.537,8.451,3.254,98.934,19.921,22.559,489.506,438.201,63.465,170.414
新北市,27,163,"8,091",125.65,0,16.532,"1,514",30,142.182,7.226,1.007,0.75,1.299,0.14,1.62,1.697,6.964,121.479,122.354,11.796,8.032
臺北市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
桃園市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宜蘭縣,11,24,190,0.31,0.053,4,18,28,5.363,1.052,0.304,0.254,0.211,0.6,1,0.3,0.434,1.208,2.412,2.551,0.4
新竹縣,9,9,89,0.022,0,1.26,0,0,1.283,0.031,0.023,0.01,0.122,0,0,0.206,0.129,0.762,1.097,0.185,0
基隆市,13,47,"1,763",38.798,1.44,2.46,330,62,44.099,0.883,0.19,0.096,0.133,0.322,0.1,0.672,1.043,40.661,38.745,4.952,0.401
新竹市,2,14,20,0.04,0.035,0,20,0,0.075,0.005,0,0,0.02,0,0,0,0.03,0.02,0.055,0.02,0
臺中市,9,39,"1,375",39.48,0,5.5,310,156,45.28,0.53,0.08,0.07,0.11,0.01,2.7,0,1.2,40.58,37.74,7.54,0
苗栗縣,8,4,"1,307",0,0,13.916,0,0,13.916,0.402,0.021,0.045,0.383,0.026,0.555,0.146,0.288,12.05,12.05,0.877,0.989
彰化縣,3,4,17,0.037,0,0.3,17,1,0.337,0.007,0.002,0,0,0,0.3,0.013,0.015,0,0.328,0.009,0
南投縣,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
雲林縣,2,24,112,4.5,0,0.489,62,8,4.989,0.017,0.032,0.085,0.04,0.066,4.076,0.028,0.04,0.605,4.816,0.173,0
臺南市,12,103,975,0.239,0.034,2.54,283,4,12.117,0.367,0.292,0.14,0.493,0.058,1.263,0,0.008,9.496,10.417,1.5,0.2
高雄市,33,104,484,55.68,0,0.213,318,92,221.076,0.83,0.471,0.233,0.106,1.024,0,0.062,0.044,218.306,195.947,25.066,0.062
嘉義縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
屏東縣,4,4,30,0,0.01,0,30,0,0.01,0,0,0,0.001,0,0,0,0.006,0.004,0.01,0,0
澎湖縣,61,72,179,35.41,0,2.27,114,1,39.38,4.93,1.6,1.86,3.27,0.6,3.2,3.77,5.6,14.55,0,2.16,37.22
嘉義市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
臺東縣,2,3,100,0,0,0.183,100,0,0.183,0,0,0,0,0,0,0,0,0.183,0,0.039,0.144
花蓮縣,4,33,513,0,0.005,0.288,256,10,13.223,0,0,0,0,0,0,0,0.004,13.219,12.23,0.988,0.005
金門縣,47,118,965,1.2,0,61.22,492,105,62.42,1.302,0.529,0.574,1.113,0.008,47.22,1.477,0.404,9.793,0,0.849,61.571
連江縣,15,17,253,0,0,66.15,0,33,66.15,1.36,1.43,0.42,1.15,0.4,36.9,11.55,6.35,6.59,0,4.76,61.39
